participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,objects_uid
P26,P26_01,open door,00:00:03.57,00:00:05.08,214,304,open,2,door,8,['door'],[8],"[323043,323044,323045,323115,323116,323117]"
P26,P26_01,pick up pan,00:00:05.68,00:00:09.42,340,565,pick-up,0,pan,1,['pan'],[1],"[323047,323048,323049,323050,323051,323052,323053,323119,323120,323121,323122,323123,323124,323125]"
P26,P26_01,close door,00:00:09.46,00:00:10.40,567,624,close,3,door,8,['door'],[8],"[323054,323055,323126,323127]"
P26,P26_01,put pan,00:00:11.28,00:00:13.35,676,801,put,1,pan,1,['pan'],[1],"[323026,323027,323058,323130,323131,323132,323133]"
P26,P26_01,pick up dish,00:00:13.55,00:00:15.74,813,944,pick-up,0,dish,4,['dish'],[4],"[323029,323030,323031,323032,323135,323136]"
P26,P26_01,put dish,00:00:15.75,00:00:17.36,945,1041,put,1,dish,4,['dish'],[4],"[323033,323034,323035]"
P26,P26_01,open fridge,00:00:19.35,00:00:20.85,1161,1251,open,2,fridge,10,['fridge'],[10],"[322964,322965,322966,322995,322996,322997,323089,323090,323091]"
P26,P26_01,pick up chicken breasts,00:00:20.95,00:00:22.70,1257,1362,pick-up,0,breast:chicken,62,['breast:chicken'],[62],"[322967,322968,322969,322970,322998,322999,323000,323001,323092,323093,323094,323095]"
P26,P26_01,close fridge,00:00:22.80,00:00:24.30,1368,1458,close,3,fridge,10,['fridge'],[10],"[322971,322972,322973,323002,323003,323004,323096,323097,323098]"
P26,P26_01,put chicken breasts,00:00:24.65,00:00:26.40,1479,1584,put,1,breast:chicken,62,['breast:chicken'],[62],"[322975,322976,322977,323006,323007,323008,323100,323101]"
P26,P26_01,open drawer,00:00:29.00,00:00:30.50,1740,1830,open,2,drawer,9,['drawer'],[9],"[323063,323064,323065,323102,323103,323104]"
P26,P26_01,open tray,00:00:29.01,00:00:30.71,1740,1842,open,2,tray,63,['tray'],[63],"[323063,323064,323065,323066,323102,323103,323104,323105]"
P26,P26_01,pick up knife,00:00:30.60,00:00:32.28,1836,1936,pick-up,0,knife,5,['knife'],[5],"[323067,323068,323069,323106,323107,323108]"
P26,P26_01,pick up knife,00:00:32.38,00:00:33.30,1942,1997,pick-up,0,knife,5,['knife'],[5],"[323070,323071,323109,323110]"
P26,P26_01,close drawer,00:00:33.02,00:00:34.02,1981,2041,close,3,drawer,9,['drawer'],[9],"[323071,323072,323073,323110,323111,323112]"
P26,P26_01,put down fork,00:00:36.26,00:00:37.36,2175,2241,put-down,1,fork,18,['fork'],[18],"[323080,323081]"
